MW,HD,HA,RB,EM,MM,TPSA,HAC,Complexity,CBC,Gap,PT,PCE0,aPCE,bPCE,,
113.61,3,2,1,113.0066,113.0066,27,5,10,2,1.57,3,22.6,2.41,2,,
205.18,1,5,3,205.0714,205.0714,35.2,14,164,1,1.56,3,23.8,0.9,0,,
122.17,1,2,2,122.0844,122.0844,38.9,9,73.3,1,1.53,3,23.97,1.68,1,,
122.17,1,2,2,122.0844,122.0844,38.9,9,73.3,1,1.51,3,23.77,1.16,1,,
122.17,1,2,2,122.0844,122.0844,38.9,9,73.3,1,1.68,3,20.8,0.98,0,,
329.95,4,2,2,329.909,329.909,52,7,12.4,3,1.68,3,18.64,1.47,1,,
167.08,2,2,2,266.992,266.992,26,11,87.3,2,1.78,2,14.9,3.7,2,,
94.07,2,4,0,94.0378,94.0378,92.1,6,26.8,2,1.58,2,18.7,1.8,1,,
283.07,0,3,0,282.8926,282.8926,65.6,11,197,1,1.55,2,23.93,0.72,0,,
175.16,0,4,0,174.9865,174.9865,65.6,11,197,1,1.55,2,23.93,1.88,1,,
191.61,0,3,0,190.957,190.957,65.6,11,197,1,1.55,2,23.93,2.29,2,,
159.11,1,5,0,159.0507,159.0507,56.7,10,80.7,2,1.55,3,24.07,0.96,0,,
216.04,2,3,1,214.9694,214.9694,82,11,164,1,1.71,3,19.72,1.08,1,,
138.12,2,4,1,138.0429,138.0429,76.2,10,138,1,1.68,3,20.85,0.55,0,,
138.12,2,4,1,138.0429,138.0429,76.2,10,138,1,1.68,3,20.85,0.98,0,,
138.12,2,4,1,138.0429,138.0429,76.2,10,138,1,1.68,3,20.85,1.5,1,,
138.12,2,4,1,138.0429,138.0429,76.2,10,138,1,1.68,3,20.85,0.97,0,,
196.34,1,4,6,196.0589,196.0589,28.7,11,89.6,1,1.73,3,19,2,1,,
306.18,0,7,3,306.1129,306.1129,32.8,19,302,2,1.53,2,23.3,1.69,1,,
137.18,1,2,3,137.0841,137.0841,35.2,10,79.3,1,1.55,3,22.31,1,1,,
228.31,2,1,2,228.0721,228.0721,56.2,16,196,1,1.7,3,13.36,6.82,2,,
141.1,1,4,1,141.0226,141.0226,50.2,10,140,1,1.62,3,19.75,1.3,1,,
341.96,4,2,0,341.909,341.909,24.1,8,26.5,3,1.55,3,23.88,2.27,2,,
187.02,2,1,1,186.9858,186.9858,26,5,7.2,2,1.55,3,22.3,0.8,0,,
329.95,4,2,2,329.909,329.909,52,7,12.4,3,1.55,3,22.3,2.3,2,,
156.98,0,4,0,157.091,157.091,30.9,11,111,1,1.65,3,19.39,2.16,2,,
315.92,4,2,1,315.8933,315.8933,52,6,6,3,1.67,3,18.36,1.9,1,,
175.63,2,2,2,175.0564,175.0564,26,11,87.3,2,1.67,3,18.36,1.2,1,,
236.53,2,1,2,234.9763,234.9763,26,11,87.3,2,1.58,1,14.5,4.9,2,,
207.25,0,2,2,207.0354,207.0354,47.4,14,269,1,1.51,2,24.61,1.48,1,,
391.3,0,11,3,391.0095,391.0095,94.8,23,447,2,1.57,2,21.59,3.22,2,,
291.3,0,7,3,291.0159,291.0159,94.8,17,304,2,1.57,2,21.59,1.98,1,,
177.2,0,3,1,177.1014,177.1014,46,13,159,2,1.57,2,21.59,0.74,0,,
181.66,0,3,4,181.087,181.087,26.3,11,115,2,1.56,2,21.42,1.98,1,,
274.12,1,2,4,274.0304,274.0304,26.3,11,115,2,1.56,2,21.42,0.37,0,,
241.72,4,1,4,241.1094,241.1094,103,16,236,2,1.55,2,19.87,3.03,2,,
233.08,3,3,1,232.9484,232.9484,89.7,7,59.8,2,1.55,3,19.87,1.93,1,,
369.37,0,1,12,369.1893,369.1893,0,18,116,2,1.65,3,20.78,1.41,1,,
169.65,2,1,0,169.0658,169.0658,26,11,108,2,1.55,2,20.03,2.37,2,,
121.18,1,1,2,121.0891,121.0891,26,9,65,1,1.52,3,22.6,1,1,,
189.18,1,4,2,189.0765,189.0765,26,13,147,1,1.52,3,22.6,1.5,1,,
257.18,1,7,2,257.0639,257.0639,26,17,224,1,1.52,3,22.6,2.5,2,,
157.64,2,1,2,157.0658,157.0658,26,10,65,2,1.58,2,19.51,1.93,1,,
146.14,0,2,0,146.0368,146.0368,26.3,11,196,1,1.58,2,22.84,1.3,1,,
194.18,2,4,3,194.0579,194.0579,66.8,14,224,1,1.77,2,17.33,1.98,1,,
114.17,1,1,0,114.0252,114.0252,47.4,7,119,1,1.72,3,18,2.6,2,,
111.12,2,4,1,110.999,110.999,88.8,6,107,1,1.77,2,17.16,-0.83,0,,
125.15,2,4,2,125.0147,125.0147,88.8,7,120,1,1.77,2,17.16,2.5,2,,
139.18,2,4,3,139.0303,139.0303,88.8,8,133,1,1.77,2,17.16,1.84,1,,
177.24,0,1,2,177.1154,177.1154,28.8,13,185,1,1.62,3,17.32,2.61,2,,
167.59,3,4,4,167.0349,167.0349,80.4,10,121,2,1.65,2,18.73,2.23,2,,
163.67,2,2,2,163.0222,163.0222,54.3,9,65.5,2,1.55,3,21.5,0.9,0,,
