MW,HD,HA,RB,EM,MM,TPSA,HAC,Complexity,CBC,Gap,PT,PCE0,aPCE,bPCE,,
74.13,2,2,2,74.08439832,74.08439832,52,5,12.4,1,1.82,2,13.1,15.2,2,2.1,10.1126/sciadv.aav8925
73.14,1,1,2,73.08914935,73.08914935,26,5,13.1,1,1.56,2,20.5,20.8,0,0.3,10.1038/s41560-019-0538-4
121.18,1,1,2,121.0891493,121.0891493,26,9,65,1,1.56,2,20.5,20.9,0,0.4,10.1038/s41560-019-0538-4
129.24,1,1,6,129.1517496,129.1517496,26,9,43.8,1,1.56,2,20.5,22,1,1.5,10.1038/s41560-019-0538-4
267.5,1,1,15,267.2926001,267.2926001,26,19,175,1,1.56,2,20.5,23,2,2.5,10.1038/s41560-019-0538-4
226.03,0,5,3,226.126441,226.126441,8.8,15,112,2,1.57,2,18.5,19.3,0,0.8,10.1038/s41586-019-1357-2
296.31,0,6,13,296.1259883,296.1259883,78.9,21,364,1,1.62,2,19.08,20.22,1,1.14,10.1038/s41467-018-06204-2
307.5,0,3,12,307.218115,307.218115,65.6,20,307,1,1.6,2,19.1,21.1,1,2,10.1002/adma.201803428
150.17,1,2,3,150.0680795,150.0680795,37.3,11,126,1,1.61,3,19.1,19.6,0,0.5,10.1021/jacs.8b13091
121.18,1,1,2,121.0891494,121.0891494,26,9,65,1,1.61,3,19.1,19.9,0,0.8,10.1021/jacs.8b13091
117.15,2,3,2,117.0789786,117.0789786,63.3,8,90.4,1,1.61,3,19.1,20.1,1,1,10.1021/jacs.8b13091
165.19,2,3,3,165.0789785,165.0789785,63.3,12,153,1,1.61,3,19.1,20.6,1,1.5,10.1021/jacs.8b13091
221.29,2,3,4,221.1415788,221.1415788,63.3,16,237,1,1.61,3,19.1,21,1,1.9,10.1021/jacs.8b13091
76.16,1,1,1,76.034671,76.034671,1,4,7.2,1,1.6,1,18.11,18.57,0,0.46,10.1016/j.jechem.2020.12.035
94.2,2,2,1,93.991092,93.991092,2,4,6,1,1.6,1,18.11,19.36,1,1.25,10.1016/j.jechem.2020.12.035
142.2,2,2,0,141.991092,141.991092,2,8,54.9,1,1.6,1,18.11,21.11,2,3,10.1016/j.jechem.2020.12.035
139.98,4,1,0,138.9745,138.9745,75.9,5,26.3,2,1.62,3,19.66,20.99,1,1.33,10.1126/science.aap9282
124.97,3,1,0,123.9636,123.9636,49.9,4,10.3,2,1.62,3,19.66,20.92,1,1.26,10.1126/science.aap9282
133.57,2,2,1,133.029441,133.029441,39.2,8,56,2,1.58,1,22.82,24.12,1,1.3,https://pubs.rsc.org/en/content/articlelanding/2025/ee/d5ee00156k
133.57,2,2,1,133.029441,133.029441,39.2,8,56,2,1.8,1,15.47,18.88,2,3.41,https://pubs.rsc.org/en/content/articlelanding/2025/ee/d5ee00156k
139.17,1,2,2,139.0797275,139.0797275,26,10,95.3,1,1.56,3,22.67,23.35,0,0.68,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202500501
214.05,3,2,0,213.9967,213.9967,24.1,7,26.5,2,1.56,3,22.67,23.95,1,1.28,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202500501
331.3,2,4,3,331.0844579,331.0844579,79.5,25,492,1,1.55,1,22.97,25.27,2,2.3,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202500708
201.98,1,6,2,202.113865,202.113865,30.3,13,94.8,2,1.55,1,24.36,26.18,1,1.82,https://pubs.rsc.org/en/content/articlelanding/2025/ee/d4ee05135a
128.2,2,3,1,128.0408194,128.0408194,80.3,8,74.8,1,1.65,2,19.92,21.94,2,2.02,https://pubs.acs.org/doi/10.1021/acsenergylett.4c03219?ref=pdf
129.19,2,4,1,129.0360684,129.0360684,93.2,8,75.7,1,1.65,2,19.92,20.79,0,0.87,https://pubs.acs.org/doi/10.1021/acsenergylett.4c03219?ref=pdf
235.95,4,2,2,235.93467,235.93467,52,7,12.4,3,1.85,2,17.06,19,1,1.94,https://onlinelibrary.wiley.com/doi/10.1002/anie.202501764
172.68,0,1,3,172.011349,172.011349,25.3,10,79.3,1,1.73,2,18.5,20.82,2,2.32,https://www.sciencedirect.com/science/article/abs/pii/S2542435125000078
126.12,3,6,0,126.0653942,126.0653942,117,9,63.3,1,1.54,2,22.03,24.54,2,2.51,https://pubs.rsc.org/en/content/articlelanding/2025/ee/d4ee04692g
160.62,3,4,2,160.007326,160.007326,94.6,8,121,2,1.68,2,20.73,22.55,1,1.82,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adfm.202419391
246.21,1,6,1,245.996235,245.996235,65.5,16,292,1,1.65,1,21.39,22.52,1,1.13,https://doi.org/10.1002/smll.202410369
246.21,1,6,1,245.996235,245.996235,65.5,16,292,1,1.57,1,16.73,18.41,1,1.68,https://doi.org/10.1002/smll.202410369
258.7,0,2,3,258.044757,258.044757,26.3,18,296,1,1.55,1,23.37,24.82,1,1.45,https://onlinelibrary.wiley.com/doi/10.1002/aenm.202405571
110.55,4,2,0,110.03592,110.03592,90.4,6,41.6,2,1.55,2,23.99,25.46,1,1.47,https://pubs.acs.org/doi/10.1021/jacs.4c14955?articleRef=control
341.96,4,2,0,341.9089,341.9089,24.1,8,26.5,3,1.52,3,23.08,25.09,2,2.01,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adfm.202419133
337.4,2,6,5,337.0983938,337.0983938,115,23,348,2,1.53,3,23.44,23.82,0,0.38,https://www.nature.com/articles/s41467-025-56068-6
379.5,2,6,6,379.1453441,379.1453441,115,26,404,2,1.53,3,23.44,25.26,1,1.82,https://www.nature.com/articles/s41467-025-56068-6
393.5,2,6,7,393.1609941,393.1609941,115,27,416,2,1.53,3,23.44,24.77,1,1.33,https://www.nature.com/articles/s41467-025-56068-6
128.11,2,5,0,128.0498243,128.0498243,77.8,9,98.6,1,1.66,2,20.23,21.96,1,1.73,https://onlinelibrary.wiley.com/doi/10.1002/adfm.202417310
165.21,2,5,4,165.045964,165.045964,99.6,10,148,1,1.53,2,23.89,25.91,2,2.02,https://doi.org/10.1002/smll.202409568
89.09,2,3,1,89.04767846,89.04767846,63.3,6,61.8,1,1.53,2,23.89,24.47,0,0.58,https://doi.org/10.1002/smll.202409568
298,0,2,0,297.7944,297.7944,56.5,10,126,1,1.65,2,21.18,22.4,1,1.22,https://onlinelibrary.wiley.com/doi/10.1002/aenm.202404180
218.06,3,2,1,217.9374,217.9374,75.2,6,42.9,2,1.55,2,24.74,26.81,2,2.07,https://onlinelibrary.wiley.com/doi/10.1002/anie.202419070
108.12,3,4,1,107.9993485,107.9993485,106,6,89.5,1,1.55,2,24.43,25.33,0,0.9,https://onlinelibrary.wiley.com/doi/10.1002/anie.202421637
91.11,2,3,0,91.0633285,91.0633285,63.3,6,33,2,1.56,3,20.36,22.37,2,2.01,https://onlinelibrary.wiley.com/doi/10.1002/adma.202413304
189.3,1,2,6,189.172879,189.172879,67.8,13,69.3,2,1.56,3,20.36,22.85,2,2.49,https://onlinelibrary.wiley.com/doi/10.1002/adma.202413304
203.32,2,3,7,203.188529,203.188529,63.3,14,83.7,2,1.56,3,20.36,23.74,2,3.38,https://onlinelibrary.wiley.com/doi/10.1002/adma.202413304
217.35,2,3,8,217.2041791,217.2041791,63.3,15,92.9,2,1.56,3,20.36,23.31,2,2.95,https://onlinelibrary.wiley.com/doi/10.1002/adma.202413304
122.17,1,2,2,122.0843983,122.0843983,38.9,9,73.3,1,1.53,3,23.77,24.93,1,1.16,https://onlinelibrary.wiley.com/doi/epdf/10.1002/adma.202415100
177.21,0,3,1,177.101445,177.101445,46,13,159,2,1.81,2,18.42,20.44,2,2.02,https://onlinelibrary.wiley.com/doi/10.1002/aenm.202404755
177.21,0,3,1,177.101445,177.101445,46,13,159,2,1.53,2,23.22,25.41,2,2.19,https://onlinelibrary.wiley.com/doi/10.1002/aenm.202404755
144.17,2,4,2,144.0898776,144.0898776,52.6,10,121,1,1.56,2,22.94,24.82,1,1.88,https://onlinelibrary.wiley.com/doi/10.1002/anie.202418606
158.16,2,4,1,158.0691421,158.0691421,69.6,11,175,1,1.56,2,22.94,25.74,2,2.8,https://onlinelibrary.wiley.com/doi/10.1002/anie.202418606
